66.50k,141.64,,,,81,1   81,1   81
130.92,86.02,131.46,86.31,132.24,86.32,133.24,86.32
66.56k,7.463,,,,62,1   62,1   62
-17.71,87.02,-15.71,87.02,-15.56,87.02,-15.56,86.72
-15.26,86.72,-15.26,87.02,-15.11,87.02,-5.24,81.28
-5.04,80.62,-0.6,80.5,0.0,80.5,0.4,80.5
0.6,79.9,11.41,78.94,12.42,78.93,13.4,76.95
14.2,76.97,14.87,76.85,15.17,77.07,17.53,77.04
18.47,76.76,19.07,76.58,20.88,76.42,22.19,76.54
23.57,76.62,24.13,76.33,27.08,76.07,30.54,75.73
32.98,75.36,36.25,75.39,40.9,75.51,44.03,75.52
46.99,75.51,52.67,75.52,57.36,75.33,58.26,75.79
63.7,75.44,64.3,74.85,66.36,74.87,67.46,75.54
70.31,75.57,73.64,75.23,75.34,74.27,76.9,73.73
78.23,73.27,80.6,70.73,85.6,70.13,90.6,70.43
93.6,70.93,99.59,73.64,101.51,75.21,106.06,75.71
108.34,76.31,108.78,76.58,109.6,76.93,113.18,77.66
116.48,80.2,127.03,80.77,133.47,86.08,134.01,86.34
134.75,86.33,135.75,86.33
66.57k,7.478,,,,68,1   68,1   68
-18.5,87.09,-16.5,87.09,-16.35,87.09,-16.35,86.79
-16.05,86.79,-16.05,87.09,-15.9,87.09,-15.15,87.03
-5.91,81.29,-5.48,80.72,-0.6,80.5,0.0,80.5
0.4,80.5,0.77,79.24,13.64,78.98,14.43,78.99
15.43,77.09,17.11,77.17,19.2,77.02,20.3,76.66
21.3,76.73,22.62,76.69,23.24,76.6,24.17,76.42
26.44,76.08,27.89,76.27,29.33,75.95,30.16,75.64
30.91,75.98,32.22,75.51,34.59,75.42,36.55,75.6
41.99,75.35,45.94,75.66,49.82,75.73,53.58,75.72
57.31,75.46,60.98,75.48,62.9,75.03,63.99,75.91
66.37,75.57,69.42,74.75,71.4,74.46,73.06,75.13
74.32,74.26,76.29,74.1,77.56,73.7,78.11,73.53
79.51,71.2,82.01,69.5,86.01,69.2,91.01,70.0
93.81,70.2,95.83,74.05,97.16,75.33,100.93,75.62
104.94,75.72,107.77,76.12,108.66,76.37,109.08,76.57
109.93,76.96,114.16,77.73,118.67,80.54,128.48,80.92
135.93,86.33,136.21,86.42,137.13,86.38,138.13,86.38
66.58k,7.512,,,,81,1   81,1   81
-18.59,87.13,-16.59,87.13,-16.44,87.13,-16.44,86.93
-16.14,86.93,-16.14,87.13,-15.99,87.13,-15.1,86.88
-7.88,82.59,-7.44,81.6,-7.19,81.6,-7.19,81.45
-5.39,81.45,-5.39,81.6,-5.14,81.6,-5.14,81.5
-4.61,81.39,-3.21,80.61,-0.6,80.48,0.0,80.48
0.4,80.48,0.85,79.22,15.71,79.03,16.62,79.02
17.61,77.15,18.01,77.13,18.8,77.25,19.69,77.18
20.06,76.43,21.44,76.24,21.97,76.43,22.28,76.76
23.57,76.69,24.21,76.8,24.63,76.58,25.93,76.25
27.65,75.87,29.05,76.58,29.67,77.09,31.0,76.93
31.28,76.59,31.66,76.21,32.11,75.92,32.92,75.99
33.6,75.24,38.85,75.29,40.85,75.42,43.83,76.22
48.53,76.26,52.64,75.51,55.24,75.55,59.31,76.06
64.14,75.3,67.89,75.12,70.57,74.83,73.89,74.92
75.33,75.07,77.42,74.67,77.96,73.71,77.99,73.66
78.3,69.81,80.3,68.71,85.3,68.11,90.3,69.71
93.3,69.01,94.85,73.39,94.95,75.12,98.3,75.42
100.96,76.59,102.55,75.91,106.46,76.1,108.19,76.31
108.68,76.55,109.24,76.92,116.01,78.15,118.11,80.09
132.43,81.22,138.6,86.17,139.24,86.48,139.98,86.45
140.98,86.45
