0,0.000 ,46.379 ,,,,,,,,,,,,,
1,0.000 ,46.921 ,,,,,,,,,,,,,
0,0.028 ,46.368 ,,,,,,,,,,,,,
0,1.238 ,45.968 ,,,,,,,,,,,,,
0,1.524 ,45.826 ,,,,,,,,,,,,,
0,1.758 ,45.726 ,,,,,,,,,,,,,
0,1.872 ,45.662 ,,,,,,,,,,,,,
0,2.062 ,45.552 ,,,,,,,,,,,,,
0,2.225 ,45.471 ,,,,,,,,,,,,,
0,2.447 ,45.406 ,,,,,,,,,,,,,
0,2.627 ,45.380 ,,,,,,,,,,,,,
0,2.759 ,45.359 ,,,,,,,,,,,,,
0,2.918 ,45.311 ,,,,,,,,,,,,,
0,3.121 ,45.276 ,,,,,,,,,,,,,
0,3.498 ,45.195 ,,,,,,,,,,,,,
0,3.906 ,45.078 ,,,,,,,,,,,,,
0,3.969 ,45.055 ,,,,,,,,,,,,,
0,3.980 ,45.052 ,,,,,,,,,,,,,
0,4.987 ,44.811 ,,,,,,,,,,,,,
0,5.167 ,44.780 ,,,,,,,,,,,,,
0,5.769 ,44.684 ,,,,,,,,,,,,,
0,5.938 ,44.641 ,,,,,,,,,,,,,
0,6.339 ,44.560 ,,,,,,,,,,,,,
0,6.465 ,44.548 ,,,,,,,,,,,,,
0,6.544 ,44.527 ,,,,,,,,,,,,,
0,6.745 ,44.475 ,,,,,,,,,,,,,
0,6.765 ,44.469 ,,,,,,,,,,,,,
0,6.779 ,44.467 ,,,,,,,,,,,,,
0,6.825 ,44.458 ,,,,,,,,,,,,,
0,7.677 ,44.317 ,,,,,,,,,,,,,
0,7.840 ,44.301 ,,,,,,,,,,,,,
0,8.247 ,44.223 ,,,,,,,,,,,,,
0,8.382 ,44.215 ,,,,,,,,,,,,,
0,8.432 ,44.208 ,,,,,,,,,,,,,
0,8.636 ,44.179 ,,,,,,,,,,,,,
0,9.039 ,44.179 ,,,,,,,,,,,,,
0,9.161 ,44.160 ,,,,,,,,,,,,,
0,9.267 ,44.114 ,,,,,,,,,,,,,
0,9.506 ,44.075 ,,,,,,,,,,,,,
0,9.643 ,44.042 ,,,,,,,,,,,,,
0,9.770 ,43.997 ,,,,,,,,,,,,,
0,9.943 ,43.976 ,,,,,,,,,,,,,
0,10.169 ,43.961 ,,,,,,,,,,,,,
0,10.596 ,43.933 ,,,,,,,,,,,,,
0,10.673 ,43.922 ,,,,,,,,,,,,,
0,10.910 ,43.850 ,,,,,,,,,,,,,
0,11.294 ,43.779 ,,,,,,,,,,,,,
0,11.461 ,43.753 ,,,,,,,,,,,,,
0,11.546 ,43.736 ,,,,,,,,,,,,,
0,11.885 ,43.670 ,,,,,,,,,,,,,
